總分,技能,天賦,推薦,職缺,公司,來源,遠端,地點,命中關鍵字,連結
33,56,0,,顧問類-顧問/資深顧問(AI 數位轉型顧問),羅兵咸永道,LinkedIn,,台北,分析、規劃、教練、顧問、設計,https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-ai-%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B%E9%A1%A7%E5%95%8F-at-pwc-4292339660
31,52,0,,【新商業學校】企業學習顧問,巨思媒體集團（數位時代、經理人、Shopping Design）,Cake,,"大安區, 台北市, 台灣",分析、領導、規劃、顧問、設計,https://www.cake.me/companies/bnext-f5f335/jobs/1f66a5
31,52,0,,【新商業學校】企業學習顧問,巨思媒體集團（數位時代、經理人、Shopping Design）,Cake,,"台北市, 台灣 / 106台灣台北市大安區",分析、領導、規劃、顧問、設計,https://www.cake.me/companies/bnext-f5f335/jobs/new-business-school-corporate-learning-consultant
31,52,0,,資深產品設計師 | Senior Product Designer (UIUX),街口電子支付股份有限公司,Cake,,"松山區, 台北市, 台灣",研究、分析、規劃、設計,https://www.cake.me/companies/jkopay/jobs/senior-product-designer-uiux
31,52,0,,【純遠端 T】國際遊戲研發公司 徵 遊戲產品經理,台灣英特艾倫人力資源有限公司,Cake,,"台北市, 台灣",研究、分析、規劃、協作、設計,https://www.cake.me/companies/interislandtw/jobs/18f501
31,52,0,,【營運管理】ORACLE系統分析師/工程師_3045,技嘉科技股份有限公司 GIGABYTE,Cake,,"新店區, 新北市, 台灣",分析、規劃、流程改善、設計,https://www.cake.me/companies/gigabyte/jobs/oracle-engineer
31,52,0,,【核心】SA系統分析師,國泰世紀產物保險股份有限公司,Cake,,"內湖區, 台北市, 台灣",分析、規劃、協作、設計,https://www.cake.me/companies/cathayins/jobs/core-sa-system-analyst
31,52,0,,客戶服務經理,蘋信科技股份有限公司,104,,台北市松山區,分析、教學、顧問、協作、客戶服務,https://www.104.com.tw/job/8s6kp
31,52,0,,軟體產品管理師 (顯示器部門)【明基BenQ資訊顯示產品】,明基電通股份有限公司,104,,台北市內湖區,研究、分析、規劃、協作、設計,https://www.104.com.tw/job/8ogkc
31,52,0,,【資訊板塊】系統設計師／System Designer_I00000533,國泰世華商業銀行股份有限公司,104,,台北市內湖區,分析、規劃、解決問題、設計,https://www.104.com.tw/job/89fq5
31,52,0,,產品規劃顧問,神銀建材資訊有限公司,104,,台北市中山區,分析、規劃、顧問、協作,https://www.104.com.tw/job/8h0m1
31,52,0,,使用者介面設計師（UX/UI Designer）,遊石設計有限公司,104,,台北市大安區,研究、分析、規劃、設計,https://www.104.com.tw/job/3esmt
31,52,0,,視覺 GUI 設計師,浩漢產品設計股份有限公司,104,,台北市內湖區,研究、規劃、協作、設計,https://www.104.com.tw/job/8xkfp
31,52,0,,【店面拓展】商場開發主任｜連鎖品牌 × 社區展店 × 談判主導H,廣興顧問股份有限公司,104,,台北市內湖區,分析、規劃、顧問、談判、協作,https://www.104.com.tw/job/90b0m
31,52,0,,Design Assistant 設計助理 (Roo),Gogolook,LinkedIn,,台北,分析、領導、協作、設計,https://tw.linkedin.com/jobs/view/design-assistant-%E8%A8%AD%E8%A8%88%E5%8A%A9%E7%90%86-roo-at-gogolook-4416799096
29,48,0,,人資資深專員 HR Generalist,科明儀器股份有限公司,104,,新北市中和區,分析、規劃、談判、協作、設計,https://www.104.com.tw/job/8rlom
29,48,0,,🔥【成長型電商SaaS平台】Senior UI/UX Designer｜產品主導 × 高度自主 × 深度問題解決-AL,Cake Recruitment Consulting,Cake,,"台北市, 台灣",規劃、顧問、協作、設計,https://www.cake.me/companies/cake-recruitment-consulting/jobs/a-leading-growing-saas-platformui-ux-designer-product-driven-high-autonomy-in-depth-problem-s
29,48,0,,課程內容與行銷企劃,學籽文創有限公司,Cake,,"大同區, 台北市, 台灣",研究、規劃、教學、協作、設計,https://www.cake.me/companies/seeds/jobs/online-course-marketing-plan
29,48,0,,數位醫療電商產品客戶服務專員｜E-commerce Customer Support Specialist,H2 Inc. 英屬開曼群島商慧康生活科技股份有限公司台灣分公司,Cake,,"內湖區, 台北市, 台灣",分析、解決問題、協作、客戶服務,https://www.cake.me/companies/h2-inc/jobs/e-commerce-customer-support-specialist
29,48,0,,商業數據師/數據分析師,騰創數析股份有限公司,104,,新北市汐止區,分析、建立指標、顧問、設計,https://www.104.com.tw/job/90zni
29,48,0,,公共建設規劃與不動產開發顧問師及助理顧問師,台灣野村總研諮詢顧問股份有限公司,104,,台北市松山區,分析、預測、規劃、顧問,https://www.104.com.tw/job/3ut0w
29,48,0,,產品企劃(產品規劃),台眾電腦股份有限公司,104,,台北市信義區,研究、分析、規劃、設計,https://www.104.com.tw/job/7406b
29,48,0,,伺服器&機櫃機構設計 理級主管 (內湖) - TWIR15352,仁寶,LinkedIn,,台北,領導、規劃、協作、設計,https://tw.linkedin.com/jobs/view/%E4%BC%BA%E6%9C%8D%E5%99%A8-%E6%A9%9F%E6%AB%83%E6%A9%9F%E6%A7%8B%E8%A8%AD%E8%A8%88-%E7%90%86%E7%B4%9A%E4%B8%BB%E7%AE%A1-%E5%85%A7%E6%B9%96-twir15352-at-compal-4415007600
29,81,0,,品質部_經理(流程改善、制度規劃與專案管理),欣陸投資控股股份有限公司,104,,台北市大安區,分析、規劃、流程改善、解決問題、協作、設計,https://www.104.com.tw/job/8llfi
29,48,0,,顧問類-顧問/資深顧問 (企業併購與專案投融資),羅兵咸永道,LinkedIn,,台北,研究、分析、顧問、設計,https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-%E4%BC%81%E6%A5%AD%E4%BD%B5%E8%B3%BC%E8%88%87%E5%B0%88%E6%A1%88%E6%8A%95%E8%9E%8D%E8%B3%87-at-pwc-4385349723
28,30,25,,【CMRI美妝行銷總研】商業數據分析師(BUSINESS ANALYST),i-TRUE 艾思網絡股份有限公司︱@cosme,Cake,,"台北市, 台灣",分析、預測、分析洞察,https://www.cake.me/companies/i-true/jobs/cf5cc4
27,44,0,,STEAM 創客教學設計師,觀點數位科技有限公司,104,,台北市信義區,規劃、教學、設計,https://www.104.com.tw/job/8ytz0
27,44,0,,Senior Product Designer,Bucket Protocol,Cake,,"台北市, 台灣",研究、分析、設計,https://www.cake.me/companies/bucket-protocol/jobs/sr-designer-047
27,44,0,,【顧問部】高級顧問師/副理(ERP系統導入)-317D,KPMG安侯建業聯合會計師事務所,Cake,,"信義區, 台北市, 台灣",分析、規劃、顧問、設計,https://www.cake.me/companies/KPMG/jobs/18ba18c6-a7c1-46ca-8f8b-440401941df6-consultant-department-senior-c-ac6efef9713c3472a41f241d3fd533
27,44,0,,財務分析專案副理,特力集團_特力股份有限公司,104,,台北市內湖區,分析、協作、設計,https://www.104.com.tw/job/91m6q
27,44,0,,系統分析師-F25B,精誠資訊股份有限公司,104,,台北市內湖區,分析、解決問題、設計,https://www.104.com.tw/job/3wgg2
27,44,0,,總公司【資訊系統開發部】系統分析師,元大人壽保險股份有限公司(總公司),104,,台北市松山區,分析、解決問題、設計,https://www.104.com.tw/job/8mqex
27,44,0,,產品規劃高級專員(半導體),聯強國際股份有限公司,104,,台北市南港區,分析、領導、規劃、設計,https://www.104.com.tw/job/90uko
27,44,0,,【總公司】軟體維護工程師(能應用AI工具佳),棉花田生機園地股份有限公司,104,,台北市中正區,研究、分析、解決問題、設計,https://www.104.com.tw/job/8l15a
27,44,0,,PCB Design Engineer,Wiwynn,LinkedIn,,"新北市, 台灣",分析、協作、設計,https://tw.linkedin.com/jobs/view/pcb-design-engineer-at-wiwynn-4425441127
27,44,0,,資訊類-顧問/資深顧問(資料庫工程師),羅兵咸永道,LinkedIn,,台北,分析、規劃、顧問、設計,https://tw.linkedin.com/jobs/view/%E8%B3%87%E8%A8%8A%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%96%99%E5%BA%AB%E5%B7%A5%E7%A8%8B%E5%B8%AB-at-pwc-4259488849
24,41,0,,【不須應酬/年後上班可】商務發展經理 BD Manager｜底薪60K+高額獎金｜配全新MacBook｜商務艙員旅,上策行銷有限公司 Bespo Marketing,Cake,,"台北市, 台灣",領導、規劃、顧問、談判、協作,https://www.cake.me/companies/bespo-marketing/jobs/business-development-manager-09d
24,41,0,,【核心】Angular程式設計師,國泰世紀產物保險股份有限公司,Cake,,"內湖區, 台北市, 台灣",分析、規劃、設計,https://www.cake.me/companies/cathayins/jobs/core-angular-programmer
24,41,0,,【業務中台】商業分析師 Business Analyst,國泰世紀產物保險股份有限公司,Cake,,"內湖區, 台北市, 台灣",分析、規劃、設計,https://www.cake.me/companies/cathayins/jobs/business-center-business-analyst
24,41,0,,中華經濟研究院-第三所-徵專職計畫輔佐研究員2名,財團法人中華經濟研究院,104,,台北市大安區,研究、分析、規劃,https://www.104.com.tw/job/8r7qh
24,41,0,,【台北】系統分析工程師（SA）,聯合骨科器材股份有限公司,104,,新北市永和區,分析、規劃、設計,https://www.104.com.tw/job/8sgm5
24,41,0,,系統分析師,碩網資訊股份有限公司,104,Y,新北市新店區,分析、規劃、設計,https://www.104.com.tw/job/5534w
24,41,0,,【中華經濟研究院-第二所】徵 計畫輔佐研究員,財團法人中華經濟研究院,104,,台北市大安區,研究、分析、規劃,https://www.104.com.tw/job/8pr09
24,41,0,,數位鑑識分析師,安永,LinkedIn,,台北,分析、解決問題、顧問,https://tw.linkedin.com/jobs/view/%E6%95%B8%E4%BD%8D%E9%91%91%E8%AD%98%E5%88%86%E6%9E%90%E5%B8%AB-at-ey-4385030892
24,41,0,,【MX】視覺設計師 / Designer,米蘭數位傳播集團_米蘭營銷策劃股份有限公司,104,Y,台北市信義區,分析、規劃、設計,https://www.104.com.tw/job/921m4
24,41,0,,視覺設計師 / Designer,創意思境股份有限公司,104,,台北市信義區,分析、規劃、設計,https://www.104.com.tw/job/921hi
22,70,0,,資深使用者經驗研究員 (Senior UX Researcher),大予創意設計股份有限公司,104,Y,台北市中正區,研究、分析、領導、規劃、協作、設計,https://www.104.com.tw/job/74sf9
22,37,0,,【日商】行銷策略規劃資深專員,Mynavi 台灣邁那比股份有限公司,Cake,,"日本、東京都千代田区 / 台北市, 台灣",分析、規劃、協作,https://www.cake.me/companies/mynavi/jobs/cloud
22,37,0,,Key Account Channel Operation Manager,台灣惠而浦股份有限公司,104,,新北市板橋區,分析、預測、領導、協作,https://www.104.com.tw/job/8p4b6
22,37,0,,BIM 繪圖工程師,億集創見應用科技股份有限公司,104,Y,台中市西區,研究、規劃、顧問、設計,https://www.104.com.tw/job/88b8a
22,37,0,,Oracle NS財務顧問 NetSuite FI Consultant,台灣漢得科技股份有限公司,104,,台北市中山區,分析、顧問、協作,https://www.104.com.tw/job/8xygm
22,37,0,,客戶服務專員,口袋證券股份有限公司,104,,新北市板橋區,流程改善、解決問題、客戶服務,https://www.104.com.tw/job/8t0gn
22,37,0,,客戶服務專員 Customer Service Specialist,共享數位服務股份有限公司,104,Y,台北市松山區,分析、協作、客戶服務,https://www.104.com.tw/job/6m8df
22,37,0,,產品規劃專業人員_I00026375,國泰金控_國泰金融控股股份有限公司,104,,台北市信義區,分析、規劃、協作,https://www.104.com.tw/job/917ey
22,37,0,,Category Management Analyst 品類管理分析(電子品類) / 蝦皮直營,Shopee,LinkedIn,,台北,分析、規劃、談判,https://tw.linkedin.com/jobs/view/category-management-analyst-%E5%93%81%E9%A1%9E%E7%AE%A1%E7%90%86%E5%88%86%E6%9E%90-%E9%9B%BB%E5%AD%90%E5%93%81%E9%A1%9E-%E8%9D%A6%E7%9A%AE%E7%9B%B4%E7%87%9F-at-shopee-4397671743
22,37,0,,Consultant / Manager－M&A－ Consulting Businesses,德勤,LinkedIn,,台北,研究、分析、顧問,https://tw.linkedin.com/jobs/view/consultant-manager%EF%BC%8Dm-a%EF%BC%8D-consulting-businesses-at-deloitte-4344392693
22,37,0,,顧問類-顧問/資深顧問(AI軟體工程師),羅兵咸永道,LinkedIn,,台北,研究、顧問、設計,https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-ai%E8%BB%9F%E9%AB%94%E5%B7%A5%E7%A8%8B%E5%B8%AB-at-pwc-4358159360
22,37,0,,【策略與交易諮詢服務】併購諮詢 - 顧問/資深顧問,安永,LinkedIn,,台北,研究、教練、顧問,https://tw.linkedin.com/jobs/view/%E3%80%90%E7%AD%96%E7%95%A5%E8%88%87%E4%BA%A4%E6%98%93%E8%AB%AE%E8%A9%A2%E6%9C%8D%E5%8B%99%E3%80%91%E4%BD%B5%E8%B3%BC%E8%AB%AE%E8%A9%A2-%E9%A1%A7%E5%95%8F-%E8%B3%87%E6%B7%B1%E9%A1%A7%E5%95%8F-at-ey-4385045593
20,33,0,,中華經濟研究院第一研究所誠徵專任計畫助理與計畫輔佐研究員1～2名（國內外經濟、財金、統計、數學等相關學系研究所畢業）,財團法人中華經濟研究院,104,,台北市大安區,研究、分析,https://www.104.com.tw/job/8jf4u
20,33,0,,中華經濟研究院國際經貿政策研究中心誠徵專職計畫 輔佐研究員,財團法人中華經濟研究院,104,,台北市大安區,研究、分析,https://www.104.com.tw/job/91enc
20,33,0,,中華經濟研究院第三所誠徵專職計畫輔佐研究員1-2名（經濟相關領域碩士）,財團法人中華經濟研究院,104,,台北市大安區,研究、分析,https://www.104.com.tw/job/8bq0o
20,33,0,,【經紀】數據分析師,群益金鼎證券股份有限公司,104,,台北市松山區,分析、設計,https://www.104.com.tw/job/8s7vd
20,33,0,,Backend Software Engineer,裕順資訊有限公司,Cake,,"松山區, 台北市, 台灣",分析、解決問題、設計,https://www.cake.me/companies/richwell/jobs/backend-software-engineer-6c3414
20,33,0,,網頁設計師,半年設計整合有限公司,104,,台北市大安區,協作、設計,https://www.104.com.tw/job/90w9d
20,33,0,,企劃專員-2部,翊多數位有限公司,104,,台北市信義區,分析、協作、設計,https://www.104.com.tw/job/92dxa
20,33,0,,系統分析師,聯經數位股份有限公司,104,,新北市汐止區,分析、解決問題,https://www.104.com.tw/job/84hd7
20,33,0,,〔資訊〕.NET 資深程式設計師 (財金核心系統),台新新光金控_台新國際商業銀行股份有限公司,104,,台北市內湖區,分析、設計,https://www.104.com.tw/job/92qi6
20,33,0,,"產品規劃專員【JBL, Shokz, Laifen,等知名品牌台灣代理】",香港商思維創新有限公司台灣分公司,104,,台北市中正區,研究、領導、規劃,https://www.104.com.tw/job/8l867
20,33,0,,研究助理｜中經院第三所 CSTPE 團隊｜歡迎生科、經濟、商管相關背景新鮮人,財團法人中華經濟研究院,104,,台北市大安區,研究、分析,https://www.104.com.tw/job/90cih
20,33,0,,【數據發展部】數據分析師,聯合報股份有限公司,104,,新北市汐止區,分析、設計,https://www.104.com.tw/job/7vmmw
20,33,0,,伺服器工廠測試平台開發工程師 (MFG & Design Test Infra Development Engineer)(內湖) - TWIR03342,仁寶,LinkedIn,,台北,分析、設計,https://tw.linkedin.com/jobs/view/%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%B7%A5%E5%BB%A0%E6%B8%AC%E8%A9%A6%E5%B9%B3%E5%8F%B0%E9%96%8B%E7%99%BC%E5%B7%A5%E7%A8%8B%E5%B8%AB-mfg-design-test-infra-development-engineer-%E5%85%A7%E6%B9%96-twir03342-at-compal-4412782490
20,33,0,,商場客戶服務處主管,台北雙星股份有限公司,104,,新北市新莊區,分析、規劃、客戶服務,https://www.104.com.tw/job/92llv
20,33,0,,"【數位驅動】風險數據分析師(數數發中心, DDT)_II00002621",國泰世華商業銀行股份有限公司,104,,台北市信義區,分析、協作,https://www.104.com.tw/job/89ofg
20,33,0,,【AI 2D美術設計師｜AI Art Designer｜善用AI工具 × 商用圖像生成 × 遊戲產線應用】【開發二部｜台北】,奧爾資訊多媒體股份有限公司,104,,新北市板橋區,協作、設計,https://www.104.com.tw/job/83hhu
20,33,0,,【國外部】食品原料企劃專員,台灣荃新股份有限公司,104,,新北市中和區,研究、分析、協作,https://www.104.com.tw/job/8t3eq
20,33,0,,UIUX 設計師,三貝德數位文創股份有限公司,104,,新北市三重區,協作、設計,https://www.104.com.tw/job/5l9tk
20,33,0,,AI 設計整合工程師,特群機電股份有限公司,104,,台北市南港區,研究、設計,https://www.104.com.tw/job/91ypg
20,33,0,,臺師大EMI教學資源中心誠徵專案經理 (專任助理) 1名,國立臺灣師範大學_EMI教學資源中心,104,,台北市大安區,分析、規劃、教學,https://www.104.com.tw/job/86wyd
20,33,0,,【外商】Oracle EPM 系統顧問 (Oracle EPM Consultant),台灣光譜數據有限公司,104,Y,高雄市三民區,分析、規劃、顧問,https://www.104.com.tw/job/90i11
20,33,0,,儲備講師/顧問,超洋國際顧問股份有限公司,104,,台北市信義區,分析、教學、顧問,https://www.104.com.tw/job/8j7fo
20,33,0,,移民諮詢顧問,環球出國移民諮詢顧問有限公司,104,,台北市信義區,分析、顧問、談判,https://www.104.com.tw/job/8rvr1
18,63,0,,"AI行政應用專員，月薪 38,000～48,000 元（依相關經驗、數據分析能力及 AI 工具應用能力核定）",立順診所,104,,新北市板橋區,研究、分析、規劃、流程改善、解決問題,https://www.104.com.tw/job/8yv2i
18,63,0,,"AI行政應用專員，月薪 38,000～48,000 元（依相關經驗、數據分析能力及 AI 工具應用能力核定）",立吉診所,104,,新北市板橋區,研究、分析、規劃、流程改善、解決問題,https://www.104.com.tw/job/8sge1
18,63,0,,"AI行政應用專員，月薪 38,000～48,000 元（依相關經驗、數據分析能力及 AI 工具應用能力核定）",立竹診所,104,,新北市板橋區,研究、分析、規劃、流程改善、解決問題,https://www.104.com.tw/job/8s32t
18,63,0,,"AI行政應用專員，月薪 38,000～48,000 元（依相關經驗、數據分析能力及 AI 工具應用能力核定）",立丞診所,104,,新北市板橋區,研究、分析、規劃、流程改善、解決問題,https://www.104.com.tw/job/8sgdx
18,30,0,,數位醫療資深數據科學家/工程師｜Sr. Data Scientist/ Data Engineer,H2 Inc. 英屬開曼群島商慧康生活科技股份有限公司台灣分公司,Cake,,"內湖區, 台北市, 台灣",分析、設計、發想,https://www.cake.me/companies/h2-inc/jobs/data-analyst-data-analyst
18,30,0,,W1000 營運管理課長（物流/宅配/客服）-營運企劃課.,富昇物流股份有限公司,104,,新北市三重區,分析、規劃、流程改善,https://www.104.com.tw/job/8z5zv
18,30,0,,【房源管家】讓屋主安心、讓房客舒服，你就是那個解決問題的人。,租寓平台股份有限公司,104,,台北市信義區,解決問題、客戶服務,https://www.104.com.tw/job/7r4m6
